title,link,pubdate,location,description
Internet on a pc but using wifi Donegal because not connected properly,https://www.freelancer.com/projects/mobile-app-development/Internet-but-using-wifi-Donegal.html,Sat 06 May 2023 184004 0400,NaN,internet on pc but using wifi diongal because not connected properly moved into a new place Budget 10  30 USD Jobs HTML5 Mobile App Development
Shipmate  Our Affiliate program,https://www.freelancer.com/projects/affiliate-marketing/Shipmate-Our-Affiliate-program.html,Sat 06 May 2023 183900 0400,NaN,Hi there as you may have seen in the title of this Job post we are setting up an Affiliate program but for that we need affiliates lol anyhow we decided to post this unto hear mainly because we need Budget 15  25 USD Jobs Affiliate Marketing Blogging Content Writing SEO Social Media Marketing
fix my ios app done by swift api for chatgpt,https://www.freelancer.com/projects/iphone-app-development/fix-ios-app-done-swift.html,Sat 06 May 2023 183732 0400,NaN,I am looking for a freelancer with expertise in iOS app development using Swift API to fix the chat functionality on my current app The app frequently crashes and needs to be fixed to support realtime messaging message notifications and multimedia messages Budget 10  30 USD Jobs iPad iPhone Mobile App Development Objective C Swift
New UXUI interface for my Ecoomerce site  intergration woocommerce,https://www.freelancer.com/projects/website-design/New-interface-for-coomerce-site.html,Sat 06 May 2023 183635 0400,NaN,Hello I would like to improve and completely update the UXUI of my ecoomerce site  make a more modern and uncluttered site  improve the user experience  improve the design of all the pages especially Budget 750  1500 EUR Jobs Graphic Design User Interface  IA UX  User Experience Website Design WooCommerce
Controle e analise de pneus,https://www.freelancer.com/projects/data-entry/Controle-analise-pneus.html,Sat 06 May 2023 183601 0400,NaN,Analise de danos para tomadas de deciso e reduo de custo na frota o dono sabendo a maior causa dos descarte de pneus ele saber tomar decises corretas para reduzir custo na frota Voc ter Ex Budget 1500  3000 USD Jobs Data Entry Data Processing Excel PDF
Keyshot cad assembly,https://www.freelancer.com/projects/solidworks/Keyshot-cad-assembly.html,Sat 06 May 2023 183205 0400,NaN,I am looking for somebody who can help me to create a Keyshot assembly of a 3D CAD model I am not looking for a render of the model or any animations or rigging but just the KeyShot assembly The 3D CAD model that should be used is already available so you dont need to worry about creating it Budget 10  30 USD Jobs 3D Modelling 3D Rendering CADCAM Product Design Solidworks
Wedding reheasal dinner slideshow,https://www.freelancer.com/projects/graphic-design/Wedding-reheasal-dinner-slideshow.html,Sat 06 May 2023 183100 0400,NaN,I need a slideshow with lot of photos for my sons rehearsal dinner I am mrunning out of time May 26th it the dinner I have many photos ans still waiting on more from the mother of the bride Budget 750  1500 USD Jobs Google Slides Graphic Design HTML Illustrator Photoshop Design Video Editing Video Production Video Services WordPress
Shea building ureka utah,https://www.freelancer.com/projects/building-architecture/Shea-building-ureka-utah.html,Sat 06 May 2023 182932 0400,NaN,Two store font and two appartment  2bedrooms with one bathroom The building has 4 stele support down the center and 4 on each side a total of 12 stele support with a 15 spacing I beams conecting Budget 250  750 USD Jobs 3D Rendering AutoCAD Building Architecture Home Design Interior Design
Telegram Channel Promotion,https://www.freelancer.com/projects/content-marketing/Telegram-Channel-Promotion.html,Sat 06 May 2023 182904 0400,NaN,Hello Im looking for someone to help me promote my Telegram Channel The target audience I am aiming for is a specific niche and the content will mostly be related to crypto signals My budget for the project is less than 50 and any help would be greatly appreciated Budget 10  30 USD Jobs Content Marketing Video Editing
Need a marvelous designer to make a punjabi suit model,https://www.freelancer.com/projects/graphic-design/Need-marvelous-designer-make-punjabi.html,Sat 06 May 2023 182812 0400,NaN,Im looking for an imaginative designer to create some fantastic models for a Punjabi Suit I have a precise colour scheme in mind and need 24 splendid designs to bring it to life So if you have the Budget 100  101 INR Jobs Blender Graphic Design Illustrator Photoshop Photoshop Design
