id,title,link,description,pubdate,location
u4PfCdiL,Senior Business Systems Analyst,https://mx.indeed.com/rc/clk?jk=849454c9661f6be3&fccid=6b7a1dfe07e7f037&vjs=3,Provides expertise and system support in developing and enhancing business systems to provide new or…,2023-05-06,Remoto
9UQwAh6x,"Sr. Analyst, SIEM, Cybersecurity Operations Infrastructure",https://mx.indeed.com/rc/clk?jk=04323eea5ad3d2c0&fccid=dd09fe3b43125016&vjs=3,The Dell Security &amp; Resiliency Organization (SRO) manages the security and resiliency risk across all aspects of Dell’s business.,2023-05-06,Remoto
gmbxduSN,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=7d68f7b742b2dc81&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Hermosillo, Son."
muAUEu7B,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=872ff595cf4980ad&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Aguascalientes, Ags."
c5L9t3to,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=303da20f1f83d5e8&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Tijuana, B.C."
fEHfyw5q,Data Architect Senior Azure Power BI Remote,https://mx.indeed.com/rc/clk?jk=3e32469f2d248194&fccid=e77073f1483d3849&vjs=3,"Experiencia en Azure SQL Conocimiento avanzado en SQL (data transformation, data structures, metadata, Dependency and workload management).",2023-05-06,"Remoto in Sinaloa, Sin."
QjJFvjn6,Jr Data Scientist,https://mx.indeed.com/rc/clk?jk=889a9625f3a53184&fccid=c172deadb7fe7cb3&vjs=3,Experience 0 to 1 year Strong capacity for statistical data…,2023-05-06,Remoto in Ciudad de México
6hlGa5dz,"Manager, Data Solution Specialist",https://mx.indeed.com/rc/clk?jk=823e9b2c71e6ac34&fccid=7ff126af0cd3d93b&vjs=3,"You will engage with the analyst/ data science community to maximize the usefulness of our data and enable discovery, understanding and use of our key data…",2023-05-06,Remoto in Ciudad de México
p9pp65ln,SENIOR BUSINESS ANALYST,https://mx.indeed.com/rc/clk?jk=809d50ddf2358600&fccid=2f27a82023b4a64f&vjs=3,Their modules work seamlessly together to provide unparalleled ease…,2023-05-06,Remoto
BWpoSg2u,"Business Analyst, Google Workspace",https://mx.indeed.com/rc/clk?jk=af9a9926f3545ad5&fccid=41e8f9abd9840a7a&vjs=3,"This includes planning, analysis and design, configuration, development, data migrations, system testing, cutover plan, and production support.",2023-05-06,Remoto in Ciudad de México
Uv1TpqfO,Health &amp; Safety Specialist Semi Senior - CDMX,https://mx.indeed.com/rc/clk?jk=094f5ef4e672d989&fccid=d13187a50c252e33&vjs=3,Coordinate and ensure the proper performance and activities of the occupational health and safety…,2023-05-06,"Remoto in Benito Juárez, CDMX"
sOsAdK18,Senior Pricing Specialist,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BMkoNo-4RC6CrAaISY6uocvTnsVw0kIC8CvK5SiV_Wqro2KlH8LSXlVCr9lNcgWHS_qZyS4Vi5jDaZQUatylJZadW4Gvsd3BX5-hPYzjtZNVzj7gp0NhLM0O6bnOaazYIKDzpEdVdxyzUGABsip9TDwL8gYIcWtww9VgSfJUgzdkud-82rSQxthWQm5lKsr4LIMzJmoSjP6mt4Djw2ewX7otUi9pugEqtv39YpTmKMPLZC4K8HeUK34zjZfOrqg89XGOBpgRFqGUhSX9xFjyyQ223CkxrXJWvLgD6UKmsBYviJRmtj7ZKgY-NFYlwt0JgUtKbD447qrFspb9otFQnkKylk0kBCLxAKIcD5FTPUapVIK3OmMdj9ordM5DJ_ucLbD-X5bzWojPf_ZAHKCh4XHiw0dYbhaKq9M6HqDW-kqjDH_rLvn8DL2o_8nhJcil4_rWYwawQVbX_mHRi3AflP5JfrQMhB4RoAZ0zClgjx6ib130eHA_BAwAQa1ebxKpKOwVVGtoY5MA==&xkcb=SoAS-_M3Q5iTgrg2kD0AbzkdCdPP&p=11&fvj=1&vjs=3,Analyze customer data and conduct surveys to identify…,2023-05-06,Remoto
