title,link,description,pubdate,location
Web Developer position is open,https://jobs.drupal.org/ithaca-college/job/17991,United States,2023-02-21 00:00:00,NaN
Proxy server creation self made proxies,https://www.freelancer.com/projects/programming/Proxy-server-creation-self-made.html,Hello i would like the assistance of an expert who could guide me into creating my own proxies Budget 2  8 USD Jobs Computer Science Programming Software Development,2023-03-06 00:00:00,NaN
Diretor de arte,https://findbacon.com/job/diretor-de-arte,Diretor de Arte PlenoContratao MEITipo de trabalho Perodo integralDescrioA vaga  para fazer parte da equipe de criao da Duovozz ajudando na criao de campanhas,,NaN
Payment Operations Lead,https://cryptojobslist.com/jobs/payment-operations-lead-near-foundation-remote-global, Tags Cryptocurrency Jobs  Cryptocurrency Remote Jobs  Blockchain Operations Jobs  Blockchain Finance Jobs  Cryptocurrency Data Jobs  Cryptocurrency Accounting Jobs  Cryptocurrency Full Time Jobs NEAR Foundation is hiring for our Payment Operations Lead The Finance team provides a critical function to ensure the success of the Foundation providing operational excellence for all payments and treasury management The Payment Operations Lead will maintain the smooth management of all NF payments payroll and treasury Token and Fiat Coordinate with external partners and lead the annual audit You will  Own a comprehensive set of finance matters of NEAR Foundation and its subsidiaries Oversee financial operations token distributions Invoice settlement track cash flows Oversee successful deployment of Payroll Manage the fiat and token treasury of the Foundation Plan coordinate and maintain Operational liquidity fiat and token Manage a team of 2 direct reports Complete employee and contractor co,2023-02-17 00:00:00,Remote  Global
Application Security Engineer PHSH,https://cryptojobslist.com/jobs/application-security-engineer-ph-sh-coins-ph-manila-philippines, Tags Cryptocurrency Jobs  Cryptocurrency Security Jobs  Web3 Developer Jobs  Web3 Exchange Jobs  Web3 Compliance Jobs  Cryptocurrency Python Jobs  Blockchain Full Time Jobs Join the leading Crypto Brand in the PhilippinesWho we areWe are one of the earliest and largest crypto platforms in Southeast Asia offering exchange and wallet services to our users Our product lineup also includes electronic payment service and ewallet Through our wallet users can send money to anyone pay for bills shop online at over 100000 merchants receive money transfers from 200 countries even without a bank account and of course view and purchase cryptocurrenciesWhat youll doAssist development and product teams with the threat modeling security review activities VAPTSASTDAST activities etc amp triage security findingsDevelop attack techniques tool exploit development intelligence analysis and adversarial tacticsSupport remediation effort and track open issues and follow up to ensure remediation Provide secu,2023-02-17 00:00:00,Manila Philippines
Staff Software Engineer  Core Cryptography,https://cryptojobslist.com/jobs/staff-software-engineer-core-cryptography-coinbase-remote-usa, Tags Cryptocurrency Jobs  Cryptocurrency Remote Jobs  Cryptocurrency Non Tech Jobs  Blockchain Trading Jobs  Blockchain Legal Jobs  Cryptocurrency Security Jobs  Cryptocurrency Developer Jobs  Cryptocurrency Engineering Jobs  Blockchain Golang Jobs  Cryptocurrency Defi Jobs  Web3 Finance Jobs  Blockchain Data Jobs  Web3 Ruby Jobs  Web3 Ethereum Jobs  Cryptocurrency Full Time Jobs Were Coinbase Were the worlds most trusted way to join the crypto revolution serving more than 89 million accounts in more than 100 countries  Our mission is to increase economic freedom around the world and we couldnt do this without hiring the best people Were a group of hardworking overachievers who are deeply focused on building the future of finance and Web 30 for our users across the globe whether theyre trading storing staking or using crypto Know those people who always lead the group project Thats us There are a few things we look for across all hires we make at Coinbase regardless of role or team Fi,2023-02-17 00:00:00,Remote  USA
Senior Frontend Developer 100 Remote,https://vuejobs.com/jobs/proxify-senior-front-end-developer-long-term-job-100-remote?utm_source=rssfeed,Employer Proxify Location  About usnbspTalent has no borders We strongly believe in uplifting talent by providing them with the right opportunities  no matter which part of the world you are from we,2023-02-17 00:00:00,NaN
Frontend Developer,https://cryptojobslist.com/jobs/frontend-developer-colonist-remote, Tags Cryptocurrency Jobs  Cryptocurrency Developer Jobs  Blockchain Typescript Jobs Description A developer who can work towards improving our user facing features What We Expect Outcomes  Communicate with designer for improvements in the designs Ensure the technical feasibility of UIUX designs Improve designs while implementing Write clean code that can be easily understood by non programmers Communicate with backend devs to finalize APIs amp data structures Communicate with users amp testers to figure out bugs and fix them Propose UX improvements amp ideas Optimize page loading times Create responsive implementations  Competencies  Mainly work with HTML EJS SCSS TypeScript Webpack PIXIjs Browser Dev Tools Optionally work with Nodejs Sentry Eslint Stylelint Has an eye for design is careful detail oriented responsive good English proactive collaborative learns new tech Willing to follow established patterns and best practices  Hiring Process Heres what the typical process looks like  ,2023-02-17 00:00:00,NaN
Unbound Content is hiring for a position of Senior UI Designer  Brand Development in Los Angeles CA,https://dribbble.com/jobs/203255-Senior-UI-Designer-Brand-Development?source=feed,NaN,2023-02-17 00:00:00,NaN
Senior Full Stack Developer 100 Remote,https://vuejobs.com/jobs/proxify-senior-full-stack-developer-long-term-job-100-remote?utm_source=rssfeed,Employer Proxify Location  About usnbspTalent has no borders We strongly believe in uplifting talent by providing them with the right opportunities  no matter which part of the world you are from we,2023-02-17 00:00:00,NaN
Regional Marketing Lead  LATAM,https://cryptojobslist.com/jobs/regional-marketing-lead-latam-xapo-bank-remote, Tags Cryptocurrency Jobs  Cryptocurrency Remote Jobs  Cryptocurrency Marketing Jobs  Blockchain Content Jobs  Web3 Data Jobs  Blockchain Full Time Jobs About us Xapo Bank is the first product of its kind a platform that bridges the gap between crypto and traditional banking services Headquartered in Gibraltar we are regulated and authorised as a credit institution to provide fiat related services and in addition Xapo VASP is regulated and authorised as a Distributed Ledger Technology Provider to provide crypto services We offer secure seamless access to US Dollar and Bitcoin all accessible from our mobile based Xapo Banking App Xapo holds one of the largest Bitcoin reserves in the world and liquid assets all of which provide an additional layer of protection to our members  Our beginning A world that enjoys economic freedom and wealth protection no matter where you live or who is running your country This is the dream that drove Wences Casares our Founder and Chairman to quietly trans,2023-02-17 00:00:00,Remote
VOID is hiring for a position of UIUX Designer for Gaming Platform in Remote,https://dribbble.com/jobs/203222-UI-UX-Designer-for-Gaming-Platform?source=feed,NaN,2023-02-17 00:00:00,NaN
Revelxyz is hiring for a position of UI  UX Designer in Remote,https://dribbble.com/jobs/203189-UI-UX-Designer?source=feed,NaN,2023-02-17 00:00:00,NaN
East Carolina University is seeking an Assistant Professor  AnimationInteractive Design or Graphic Design,https://www.coroflot.com/design-jobs/Assistant-Professor-AnimationInteractive-Design-or-Graphic-Design-East-Carolina-University-Greenville-NC-517993,Greenville NC,2023-02-22 00:00:00,NaN
Piaggio Fast Forward is seeking a Graphic Designer,https://www.coroflot.com/design-jobs/Graphic-Designer-Piaggio-Fast-Forward-Boston-MA-517987,Boston MA,2023-02-22 00:00:00,NaN
Capmo GmbH is hiring for a position of Graphic Designer mw in Remote,https://findbacon.com/job/capmo-gmbh-is-hiring-for-a-position-of-graphic-designer-m-w-in-remote,NaN,,NaN
Compliance Regulatory Officer PH,https://cryptojobslist.com/jobs/compliance-regulatory-officer-ph-coins-ph-manila-philippines, Tags Cryptocurrency Jobs  Web3 Legal Jobs  Blockchain Exchange Jobs  Web3 Compliance Jobs  Web3 Kyc Jobs  Blockchain Data Jobs  Web3 Accounting Jobs  Cryptocurrency Full Time Jobs Join the leading Crypto Brand in the PhilippinesWho we areWe are one of the earliest and largest crypto platforms in Southeast Asia offering exchange and wallet services to our users Our product lineup also includes electronic payment service and ewallet Through our wallet users can send money to anyone pay for bills shop online at over 100000 merchants receive money transfers from 200 countries even without a bank account and of course view and purchase cryptocurrenciesWhat youll doReview and finalize draft regulatory reports Ensure these are accurately done and timely submitted to the concerned government regulatory unit usually BSP Coordinate and collaborate with other departments to secure the adequate and appropriate data necessary for regulatory reportingKeeping abreast of the regulatory changes and tr,2023-02-17 00:00:00,Manila Philippines
Software Engineer,https://cryptojobslist.com/jobs/software-engineer-coinbase-remote-india, Tags Cryptocurrency Jobs  Cryptocurrency Remote Jobs  Blockchain Non Tech Jobs  Blockchain Trading Jobs  Web3 Legal Jobs  Web3 Security Jobs  Web3 Developer Jobs  Web3 Engineering Jobs  Blockchain Golang Jobs  Blockchain Compliance Jobs  Cryptocurrency Defi Jobs  Cryptocurrency Finance Jobs  Blockchain Gamefi Jobs  Web3 Data Jobs  Blockchain Ruby Jobs  Web3 Ethereum Jobs  Blockchain Full Time Jobs Were Coinbase Were the worlds most trusted way to join the crypto revolution serving more than 89 million accounts in more than 100 countries  Our mission is to increase economic freedom around the world and we couldnt do this without hiring the best people Were a group of hardworking overachievers who are deeply focused on building the future of finance and Web 30 for our users across the globe whether theyre trading storing staking or using crypto Know those people who always lead the group project Thats us There are a few things we look for across all hires we make at Coinbase regardless ,2023-02-17 00:00:00,Remote  India
Accounts Payable Analyst,https://cryptojobslist.com/jobs/accounts-payable-analyst-parity-technologies-london-england-united-kingdom, Tags Cryptocurrency Jobs  Cryptocurrency Analyst Jobs  Blockchain Operations Jobs  Web3 Finance Jobs  Web3 Accounting Jobs  Blockchain Full Time Jobs Accounts Payable Analyst  London UK  The Company  Parity is a core blockchain infrastructure company We are building the future of blockchain technology with an opensource architecture that will enable people to create better institutions through technology Parity was founded by some of the most influential entrepreneurs and visionaries in the Blockchain and Crypto space  The company has scaled rapidly in the last 3 years to become one of the worlds most accomplished blockchain companies It has over 300 team members and global operations with offices in London Berlin and Lisbon This is an incredible time to join the business as you will be joining a expanding Finance function based in London and helping to build out finance processes and supporting company wide initiatives There are fantastic growth opportunities on offer as the business,2023-02-17 00:00:00,London England United Kingdom
Sr DevOps Engineer  New Zealand Fiji GMT12,https://cryptojobslist.com/jobs/sr-devops-engineer-new-zealand-fiji-gmt-12-polygon-auckland, Tags Cryptocurrency Jobs  Blockchain Remote Jobs  Web3 Devops Jobs  Cryptocurrency Security Jobs  Web3 Developer Jobs  Blockchain Engineering Jobs  Web3 Polygon Jobs  Web3 Avalanche Jobs  Cryptocurrency Web3 Jobs  Blockchain Golang Jobs  Blockchain Rust Jobs  Blockchain Compliance Jobs  Cryptocurrency Discord Jobs  Cryptocurrency Python Jobs  Cryptocurrency Javascript Jobs  Blockchain Polkadot Jobs  Blockchain Data Jobs  Cryptocurrency Cosmos Jobs  Web3 Ethereum Jobs  Web3 Full Time Jobs What is PolygonPolygon is the leading blockchain development platform offering scalable affordable secure and sustainable blockchains for Web3 Its growing suite of products offers developers easy access to major scaling solutions including L2 ZK Rollups and Optimistic Rollups sidechains hybrid standalone and enterprise chains and data availability Polygons scaling solutions have seen widespread adoption with tens of thousands of decentralized applications hosted 16B total transactions processed 180M u,2023-02-17 00:00:00,Auckland
SECURITY ANALYST II  Operational Technology at City of Everett Everett WA USA,https://www.crunchboard.com/jobs/197410603-security-analyst-ii-operational-technology-at-city-of-everett,The City of Everett is accepting applications on an opencompetitive basis for the Civil Service examination process for SECURITY ANALYST II This,2023-02-17 00:00:00,NaN
Head of Community,https://cryptojobslist.com/jobs/head-of-community-sismo-paris-france, Tags Cryptocurrency Jobs  Web3 Remote Jobs  Cryptocurrency Community Jobs  Web3 Developer Jobs  Cryptocurrency Web3 Jobs  Cryptocurrency Devrel Jobs  Blockchain Full Time Jobs Role As Sismos Head of Community you will create and execute community plans in collaboration with our Developer Relations and Partnership teams  communication events bounty programs community campaigns and more Your main role involves guiding and engaging the current community to support Sismos longterm missionmaking sure that Sismos core team is in tune with the community Requirement  2 years of experience managing projects in a cryptonative team Experience in communication or community building Strong interest in web3 social and privacy Excellent written verbal and public speaking skills Nativelevel proficiency in English  Nicetohave  French resident  Benefits  Strong incentives market salary  tokens package Remotefriendly Participation in some of cryptos biggest events and conferences Become entrenched in th,2023-02-17 00:00:00,Paris France
Senior Smart Contract and ZK Engineer,https://cryptojobslist.com/jobs/senior-smart-contract-and-zk-engineer-sismo-paris-france, Tags Cryptocurrency Jobs  Blockchain Senior Jobs  Web3 Remote Jobs  Blockchain Web3 Jobs  Cryptocurrency Zk Jobs Role As Sismos Senior Smart Contract and ZK Engineer you will work on the newest versions of our smart contracts and ZK circuits In addition you will maintain Sismos Solidity libraries for developers to integrate Sismo Requirements  3 years of experience building and maintaining opensource smart contracts deployed in production At least one year of experience building with Foundry Tenderly and other advanced smart contract development tools Experience or strong interest in learning ZK programming languages such as Circom or Noir Fluent in English French is a bonus  Nice to have  Background in mathematics and cryptography Knowledge of the different ZK proof systems Interest in web3 social  Benefits  Strong incentives market salary  tokens Remotefriendly Participation in some of cryptos biggest events and conferences Become entrenched in the ZK community  Apply here  Senior S,2023-02-17 00:00:00,Paris France
Senior Frontend Developer Vue 3,https://vuejobs.com/jobs/nordhealth-senior-frontend-developer-vue-3?utm_source=rssfeed,Employer Nordhealth Location   Who are weNordhealths mission is to build software that improves the daily lives of healthcare professionals We build software that empower veterinary and therapy professiona,2023-02-22 00:00:00,NaN
Johnson Outdoors Inc is seeking an UXUIIndustrial Designer,https://www.coroflot.com/design-jobs/UXUIIndustrial-Designer-Johnson-Outdoors-Inc-Atlanta-GA-518043,Atlanta GA,2023-02-23 00:00:00,NaN
Project Manager  Otherlife,https://cryptojobslist.com/jobs/project-manager-otherlife-moonpay-toronto-canada, Tags Cryptocurrency Jobs  Cryptocurrency Research Jobs  Cryptocurrency Sales Jobs  Blockchain Project Manager Jobs  Web3 Operations Jobs  Blockchain Web3 Jobs  Web3 Manager Jobs  Blockchain Data Jobs  Blockchain Full Time Jobs The Discipline  Otherlife by MoonPay is a creative studio based out of Toronto specializing in Web3 product strategy design development and branding for the worlds leading companies and brands including Arsenal Football Club Coinbase OpenSea and Shopify What youll do  The Project Manager oversees one or more creative projects endtoend for multiple clients simultaneously These projects range across multidisciplinary design development and strategy As a Project Manager you will work with various team members to scope project deliverables establish project schedules delegate tasks monitor budgets hit deadlines ensure quality standards and handle all communications between the internal team subcontractors and clients Working under the Sr Operations Manager they must,2023-02-17 00:00:00,Toronto Canada
Regulatory Strategy Counsel Europe,https://cryptojobslist.com/jobs/regulatory-strategy-counsel-europe-kraken-digital-asset-exchange-amsterdam, Tags Cryptocurrency Jobs  Blockchain Remote Jobs  Web3 Non Tech Jobs  Web3 Legal Jobs  Blockchain Exchange Jobs  Web3 Compliance Jobs  Blockchain Move Jobs  Web3 Full Time Jobs About KrakenAs one of the largest and most trusted digital asset platforms globally we are empowering people to experience the lifechanging potential of crypto Trusted by over 8 million consumer and pro traders institutions and authorities worldwide  our unique combination of products services and global expertise is helping tip the scales towards mass crypto adoption But were only just getting started We want to be pioneers in crypto and add value to the everyday lives of billions Now is not the time to sit on the sidelines Join us to bring crypto to the worldTo ensure Kraken is the right fit for you please ensure you read Kraken Culture Explainedto find out more about usProof of workLegal DepartmentLegal has grown rapidly over the past few years at Kraken Were one of the worlds largest and most successful cry,2023-02-17 00:00:00,Amsterdam
Senior Business Development Associate DRG,https://skoll.org/job/internews-remote-in-united-states-102290-senior-business-development-associate-drg/,ABOUT THE OPPORTUNITY The Senior Business Development Associate for Democracy Rights and Governance DRG provides technical and administrative support for business development activities with public sector donors at Internews This 8230,2023-02-17 00:00:00,Remote in United States
Senior Engineering Manager Core Services,https://cryptojobslist.com/jobs/senior-engineering-manager-core-services-chainalysis-remote-us, Tags Cryptocurrency Jobs  Cryptocurrency Remote Jobs  Cryptocurrency Engineering Jobs  Blockchain Senior Jobs  Cryptocurrency Manager Jobs  Cryptocurrency Data Jobs  Blockchain Full Time Jobs The engineering team at Chainalysis is inspired by solving the hardest technical challenges and creating products that build trust in cryptocurrencies Were a global organization with teams in the UK Denmark and the USA who thrive on the challenging work we do and doing it with other exceptionally talented teammates Our industry changes every day and our job is to build a flexible platform that will allow us to adapt to those rapid changes  Engineering Managers are to put it simply responsible for making sure our engineers are successful Theyre trusted mentors to their team and vital partners for Product Managers They are especially adept at building and leading highly skilled teams advising on complex scaling challenges and immersing themselves in customer use cases and problems  often all in the,2023-02-17 00:00:00,Remote US
UIUX Design Intern UED,https://cryptojobslist.com/jobs/ui-ux-design-intern-ued-binance-asia, Tags Cryptocurrency Jobs  Blockchain Trading Jobs  Blockchain Internship Jobs  Web3 Engineering Jobs  Blockchain Ui Ux Jobs  Web3 Exchange Jobs  Cryptocurrency Entry Level Jobs  Blockchain Finance Jobs Binance is the global blockchain company behind the worlds largest digital asset exchange by trading volume and users serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of moneyAre you looking to be a part of the most influential company in the blockchain industry and contribute to the cryptocurrency revolution that is changing the worldBinance team is looking for a Design Intern to work with the designers on internal facing and customer facing products You must be a current student to apply We are looking for this person to start ASAP so can only consider candidates who are available to start in the next month ResponsibilitiesSupport Designers daily job on different projects Be responsible for design requirements under the instructions of designers,2023-02-17 00:00:00,Asia
Junior AffiliateInfluencer Marketing  Binance Accelerator Programme 6 months,https://cryptojobslist.com/jobs/junior-affiliate-influencer-marketing-binance-accelerator-programme-6-months-binance-global, Tags Cryptocurrency Jobs  Web3 Marketing Jobs  Cryptocurrency Trading Jobs  Web3 Exchange Jobs  Cryptocurrency Web3 Jobs  Web3 Junior Level Jobs  Web3 Finance Jobs  Web3 Data Jobs  Web3 Internship Jobs  Web3 Entry Level Jobs Binance is the global blockchain company behind the worlds largest digital asset exchange by trading volume and users serving a greater mission to accelerate cryptocurrency adoption and increase the freedom of moneyAre you looking to be a part of the most influential company in the blockchain industry and contribute to the cryptocurrency revolution that is changing the worldBinance Accelerator Program is a concise 3  6 months programme designed to have an immersive experience in the rapidly expanding Web3 space You will be given the opportunity to experience life at Binance and understand what goes on behind the scenes of the worlds leading blockchain ecosystem Alongside your job there will also be a focus on networking and development which will expand your profe,2023-02-17 00:00:00,Global
Senior Accountant,https://cryptojobslist.com/jobs/senior-accountant-polygon-united-states, Tags Cryptocurrency Jobs  Web3 Remote Jobs  Cryptocurrency Research Jobs  Blockchain Developer Jobs  Cryptocurrency Polygon Jobs  Blockchain Web3 Jobs  Cryptocurrency Discord Jobs  Cryptocurrency Senior Jobs  Cryptocurrency Finance Jobs  Cryptocurrency Manager Jobs  Web3 Data Jobs  Cryptocurrency Accounting Jobs  Web3 Full Time Jobs What is PolygonPolygon is the leading blockchain development platform offering scalable affordable secure and sustainable blockchains for Web3 Its growing suite of products offers developers easy access to major scaling solutions including L2 ZK Rollups and Optimistic Rollups sidechains hybrid standalone and enterprise chains and data availability Polygons scaling solutions have seen widespread adoption with tens of thousands of decentralized applications hosted 16B total transactions processed 180M unique user addresses and 7B in assets secured Polygon is carbon neutral with the goal of leading the Web3 ecosystem in becoming carbon negativeJob SummaryAs a,2023-02-17 00:00:00,United States
Cortico is hiring for a position of Product Design Lead in United States,https://dribbble.com/jobs/203519-Product-Design-Lead?source=feed,NaN,2023-02-23 00:00:00,NaN
Networx Systems Inc is hiring for a position of Product Designer in New York City NY,https://findbacon.com/job/networx-systems-inc-is-hiring-for-a-position-of-product-designer-in-new-yor,NaN,,NaN
Marketing Intern,https://cryptojobslist.com/jobs/marketing-intern-ethglobal-remote-global, Tags Cryptocurrency Jobs  Blockchain Remote Jobs  Blockchain Non Tech Jobs  Web3 Marketing Jobs  Cryptocurrency Community Jobs  Cryptocurrency Content Jobs  Web3 Internship Jobs  Web3 Full Time Jobs  Cryptocurrency Developer Jobs  Web3 Engineering Jobs  Cryptocurrency Web3 Jobs  Web3 Social Media Jobs  Blockchain Entry Level Jobs  Blockchain Discord Jobs  Web3 Meme Jobs ETHGlobal is growing the most valuable developer community in web3 As the usage of blockchain technology grows the world is going to need more talented engineers designers and product leaders to build the future that blockchain technology is promising We work with exactly these kinds of people every single day through the products we organize for our community By focusing on this community we think we can accelerate the transition to a cryptonative digital economyHistorically ETHGlobal has been about running hackathons around the world weve run a hackathon in every continent except Antartica and weve been very successf,2023-02-17 00:00:00,Remote  Global
IT Support Technician at Air Line Pilots Association Virginia USA,https://www.crunchboard.com/jobs/197384428-it-support-technician-at-air-line-pilots-association,Location USVATysons McLean Job ID 20230007  of Positions Type 1 Experience 2 Category Information Technology amp Services  IT Support,2023-02-17 00:00:00,NaN
Compliance and AntiFraud Support Team Lead,https://cryptojobslist.com/jobs/compliance-and-anti-fraud-support-team-lead-coins-ph-manila-philippines, Tags Cryptocurrency Jobs  Web3 Exchange Jobs  Web3 Compliance Jobs  Web3 Finance Jobs  Blockchain Customer Support Jobs  Blockchain Full Time Jobs Join the leading Crypto Brand in the PhilippinesWho we areWe are one of the earliest and largest crypto platforms in Southeast Asia offering exchange and wallet services to our users Our product lineup also includes electronic payment service and ewallet Through our wallet users can send money to anyone pay for bills shop online at over 100000 merchants receive money transfers from 200 countries even without a bank account and of course view and purchase cryptocurrenciesWhat we expect from youManage a team that conducts customer inbound and outbound communication and coordination related to Fraud cases and regulatory requirements of the companyServe as a Subject Matter Expert and handle a queue of cases for investigation as needed Handle escalated inquiries ensuring that each issue has an outcome and actions are taken after investigatingCoo,2023-02-18 00:00:00,Manila Philippines
Front End Developer,https://cryptojobslist.com/jobs/front-end-developer-polygon-bengaluru, Tags Cryptocurrency Jobs  Web3 Remote Jobs  Blockchain Security Jobs  Cryptocurrency Developer Jobs  Blockchain Polygon Jobs  Cryptocurrency Web3 Jobs  Web3 Discord Jobs  Cryptocurrency React Jobs  Cryptocurrency Javascript Jobs  Blockchain Typescript Jobs  Cryptocurrency Frontend Jobs  Cryptocurrency Data Jobs  Web3 Full Time Jobs What is PolygonPolygon is the leading blockchain development platform offering scalable affordable secure and sustainable blockchains for Web3 Its growing suite of products offers developers easy access to major scaling solutions including L2 ZK Rollups and Optimistic Rollups sidechains hybrid standalone and enterprise chains and data availability Polygons scaling solutions have seen widespread adoption with tens of thousands of decentralized applications hosted 16B total transactions processed 180M unique user addresses and 7B in assets secured Polygon is carbon neutral with the goal of leading the Web3 ecosystem in becoming carbon negativeAbout the JobAs ,2023-02-18 00:00:00,Bengaluru
